id,nombre,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,modelo,tipo,accesibilidad,IndicadorExposicion
20592,columpio en area infantil,31,pacifico,3,retiro,operativo,442397.15,4472479.84,etrs89,40.40093557,-3.67880906,calle,tellez,31,28007,"calle tellez 30 area 1, ascendiente 1: 031 · pacifi",20088240,2005-03-03,0304706,ae21,,infantiles,no,alto
20595,columpio en area infantil,31,pacifico,3,retiro,operativo,441932.29,4472738.58,etrs89,40.40323415,-3.68431035,calle,antonio nebrija,9,28007,"calle tellez , ascendiente 1: 031 · pacific",31021357,2006-09-20,0305107,ae21,cuna,infantiles,no,bajo
20615,columpio en area infantil,43,fuente del berro,4,salamanca,operativo,443410.09,4475018.53,etrs89,40.42387493,-3.66709886,calle,los peñascales,8,28028,"calle peñascales 8 , ascendiente 1: 043 · fue",11016355,2008-09-18,0403101,ae21,,infantiles,no,bajo
20687,columpio en area infantil,62,cuatro caminos,6,tetuan,operativo,440800.86,4477889.558,etrs89,40.44955689,-3.6981226,calle,aviador zorita,30,28020,"c · calle comandante zorita 30 , ascendiente 1: 0",31009890,2007-01-03,0601709,ae21,unipersonal,infantiles,no,bajo
20704,columpio en area infantil,66,berruguete,6,tetuan,operativo,440368.8,4478958.55,etrs89,40.45915593,-3.70331783,calle,martinez,6,28039,"c · calle martinez 6 , ascendiente 1: 066 · berru",20076726,2007-02-21,0603502,ae21,,infantiles,no,medio
20709,columpio en area infantil,65,valdeacederas,6,tetuan,operativo,439714.15,4479936.2,etrs89,40.46791574,-3.71113138,parque,agustin rodriguez sahagun,20709_NUM_VIA_desconocido,28039,"pq · parque agustin rodriguez sahagun , ascendien",11055276,2007-08-22,0604402,ae21,,infantiles,no,alto
20723,columpio en area infantil,76,vallehermoso,7,chamberi,operativo,440210.035,4476728.249,etrs89,40.43905304,-3.70498026,calle,cea bermudez,1,28015,"c · calle cea bermudez , ascendiente 1: 076 · val",31031276,2007-02-26,0700517,ae21,,infantiles,no,medio
20762,columpio en area infantil,83,peñagrande,8,fuencarral - el pardo,operativo,438836.42,4481818.11,etrs89,40.48480447,-3.7216658,plaza,peña horcajo,8,28035,"calle riscos de polanco  con peña horcajo, ascendiente 1: 083",20073920,2006-04-20,0803604,ae21,,infantiles,no,bajo
20779,columpio en area infantil,83,peñagrande,8,fuencarral - el pardo,operativo,438299.7,4481693.44,etrs89,40.48364169,-3.72798592,calle,ramon gomez de la serna,75,28035,"calle ramon gomez de la serna 75 , ascendient",11051209,2016-03-08,0808101,ae21,,infantiles,no,bajo
20801,columpio en area infantil,83,peñagrande,8,fuencarral - el pardo,operativo,438803.05,4481247.14,etrs89,40.47965853,-3.72200439,calle,islas cies,36,28035,"calle islas cies con isla de ons (ii), ascendiente 1: 083 · pe",31045129,2007-09-01,0810906,ae21,,infantiles,no,alto
20808,columpio en area infantil,86,valverde,8,fuencarral - el pardo,operativo,441213.45,4482479.06,etrs89,40.49093027,-3.69368265,avenida,cardenal herrera oria,100,28034,"calle cardenal herrera oria 100 , ascendiente",11048061,2006-06-05,0811602,ae21,,infantiles,no,alto
20813,columpio en area infantil,86,valverde,8,fuencarral - el pardo,operativo,442615.41,4483795.58,etrs89,40.50288811,-3.67725985,calle,burguete,26,28050,"calle castillejo de jaca , ascendiente 1: 086",31010548,2007-02-06,0812703,ae21,,infantiles,no,bajo
20627,columpio en area infantil,55,nueva españa,5,chamartin,operativo,443048.66,4479269.17,etrs89,40.46214213,-3.67174031,calle,torpedero tucuman,24,28016,"c · calle torpedero tucuman , ascendiente 1: 055",11026835,2017-10-18,0501212,ae21,,infantiles,no,medio
20826,columpio en area infantil,83,peñagrande,8,fuencarral - el pardo,operativo,438327.83,4481287.21,etrs89,40.47998433,-3.72761453,calle,mario recuero,20,28035,"calle mario recuero 20 , ascendiente 1: 083 ·",20062632,2007-11-08,0814506,ae21,,infantiles,no,bajo
20840,columpio en area infantil,86,valverde,8,fuencarral - el pardo,operativo,442475.81,4484285.7,etrs89,40.50729363,-3.67895183,calle,berdun,12,28050,"calle berdun 12 , ascendiente 1: 086 · valver",31027751,2007-04-19,0816103,ae21,,infantiles,no,bajo
20866,columpio en area infantil,97,aravaca,9,moncloa - aravaca,operativo,435063.34,4477968.61,etrs89,40.44984062,-3.76578653,calle,capuchina,13,28023,"calle capuchina , ascendiente 1: 097 · aravac",11058563,2006-09-01,0902101,ae21,,infantiles,no,medio
20897,columpio en area infantil,94,valdezarza,9,moncloa - aravaca,operativo,438792.0,4479884.38,etrs89,40.4673815,-3.72200325,calle,san gerardo,15,28035,"calle san gerardo 15 , ascendiente 1: 094 · v",20085865,2011-04-07,0906602,ae21,,infantiles,no,bajo
20657,columpio en area infantil,52,prosperidad,5,chamartin,operativo,442695.489,4476741.979,etrs89,40.43935172,-3.67567762,calle,san fernando del jarama,14,28002,"calle san fernando del jarama , ascendiente 1",20052668,2006-02-20,0503904,ae21,,infantiles,no,medio
20968,columpio en area infantil,107,aguilas,10,latina,operativo,434890.27,4470890.09,etrs89,40.38606136,-3.76710274,calle,navia,12,28044,"c · calle luis chamizo c/cnavia, ascendiente 1: 107 · agu",31044419,1998-01-01,1001603,ae21,,infantiles,no,medio
