ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
5240276,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,438598.159,4474820.345,etrs89,40.4217484,-3.72380009,5240276_TIPO_VIA_desconocido,5240276_NOM_VIA_desconocido,5240276_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900002,6,16,infantil
5240277,area de juegos/especial,21,imperial,2.0,arganzuela,operativo,439129.17,4472455.13,etrs89,40.40048049,-3.71731476,5240277_TIPO_VIA_desconocido,5240277_NOM_VIA_desconocido,5240277_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900011,6,13,infantil
5240279,area de juegos/especial,22,acacias,2.0,arganzuela,operativo,439541.01,4472296.62,etrs89,40.39908256,-3.71244685,5240279_TIPO_VIA_desconocido,5240279_NOM_VIA_desconocido,5240279_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900013,6,14,infantil
5240281,area de juegos/especial,22,acacias,2.0,arganzuela,operativo,439734.247,4472159.567,etrs89,40.39786192,-3.71015695,5240281_TIPO_VIA_desconocido,5240281_NOM_VIA_desconocido,5240281_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900014,6,21,infantil
5240283,area de juegos/especial,22,acacias,2.0,arganzuela,operativo,440038.41,4472053.74,etrs89,40.39693054,-3.70656306,5240283_TIPO_VIA_desconocido,5240283_NOM_VIA_desconocido,5240283_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900015,6,3,infantil
5240285,area de juegos/especial,22,acacias,2.0,arganzuela,operativo,440051.64,4472019.25,etrs89,40.39662079,-3.70640393,5240285_TIPO_VIA_desconocido,5240285_NOM_VIA_desconocido,5240285_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900017,6,10,infantil
5240287,area de juegos/especial,23,chopera,2.0,arganzuela,operativo,440397.56,4471805.33,etrs89,40.39471852,-3.70230803,5240287_TIPO_VIA_desconocido,5240287_NOM_VIA_desconocido,5240287_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900018,6,6,infantil
5240297,area de juegos/especial,24,legazpi,2.0,arganzuela,operativo,441575.75,4470577.49,etrs89,40.38374095,-3.68831351,5240297_TIPO_VIA_desconocido,5240297_NOM_VIA_desconocido,5240297_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900020,6,10,infantil
5240324,area de juegos/especial,111,comillas,11.0,carabanchel,operativo,439955.02,4471905.75,etrs89,40.39559136,-3.70753167,5240324_TIPO_VIA_desconocido,5240324_NOM_VIA_desconocido,5240324_NUM_VIA_desconocido,28005.0,,,1998-01-01,ai_900010,6,16,infantil
5241167,area de juegos/especial,151,ventas,15.0,ciudad lineal,operativo,446538.12,4474302.11,etrs89,40.41762787,-3.63016665,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241167_CODIGO_INTERNO_desconocido,6,4,infantil
